receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
pd_l1.pdbqt,lig_0001.pdbqt,-2.232,0,OK,output/pd_l1_lig_0001.pdbqt,2025-08-29 21:24:31,1,pd_l1_lig_0001,0,3.8747,0,-2.232
pd_l1.pdbqt,lig_1456.pdbqt,-1.816,0,OK,output/pd_l1_lig_1456.pdbqt,2025-08-29 21:24:31,1456,pd_l1_lig_1456,0,-3.9315,0,-1.816
pd_l1.pdbqt,lig_1457.pdbqt,-3.95,0,OK,output/pd_l1_lig_1457.pdbqt,2025-08-29 21:24:33,1457,pd_l1_lig_1457,0,4.319,0,-3.95
pd_l1.pdbqt,lig_1458.pdbqt,-4.249,0,OK,output/pd_l1_lig_1458.pdbqt,2025-08-29 21:24:34,1458,pd_l1_lig_1458,0,3.321,0,-4.249
pd_l1.pdbqt,lig_1459.pdbqt,-3.963,0,OK,output/pd_l1_lig_1459.pdbqt,2025-08-29 21:24:34,1459,pd_l1_lig_1459,0,-1.046,0,-3.963
pd_l1.pdbqt,lig_1460.pdbqt,-3.406,0,OK,output/pd_l1_lig_1460.pdbqt,2025-08-29 21:24:35,1460,pd_l1_lig_1460,0,-0.4371,0,-3.406
pd_l1.pdbqt,lig_1461.pdbqt,-3.663,0,OK,output/pd_l1_lig_1461.pdbqt,2025-08-29 21:24:36,1461,pd_l1_lig_1461,0,-2.6506,0,-3.663
pd_l1.pdbqt,lig_1462.pdbqt,-3.964,0,OK,output/pd_l1_lig_1462.pdbqt,2025-08-29 21:24:37,1462,pd_l1_lig_1462,0,3.5634,0,-3.964
pd_l1.pdbqt,lig_1463.pdbqt,-4.224,0,OK,output/pd_l1_lig_1463.pdbqt,2025-08-29 21:24:38,1463,pd_l1_lig_1463,0,3.6131,0,-4.224
pd_l1.pdbqt,lig_1464.pdbqt,-4.037,0,OK,output/pd_l1_lig_1464.pdbqt,2025-08-29 21:24:39,1464,pd_l1_lig_1464,0,0.7497,0,-4.037
pd_l1.pdbqt,lig_1465.pdbqt,-4.029,0,OK,output/pd_l1_lig_1465.pdbqt,2025-08-29 21:24:40,1465,pd_l1_lig_1465,0,-0.6609,0,-4.029
pd_l1.pdbqt,lig_1466.pdbqt,-3.905,0,OK,output/pd_l1_lig_1466.pdbqt,2025-08-29 21:24:40,1466,pd_l1_lig_1466,0,2.7837,0,-3.905
pd_l1.pdbqt,lig_1467.pdbqt,-3.869,0,OK,output/pd_l1_lig_1467.pdbqt,2025-08-29 21:24:41,1467,pd_l1_lig_1467,0,0.2161,0,-3.869
pd_l1.pdbqt,lig_1468.pdbqt,-4.03,0,OK,output/pd_l1_lig_1468.pdbqt,2025-08-29 21:24:42,1468,pd_l1_lig_1468,0,4.8356,0,-4.03
pd_l1.pdbqt,lig_1469.pdbqt,-3.732,0,OK,output/pd_l1_lig_1469.pdbqt,2025-08-29 21:24:43,1469,pd_l1_lig_1469,0,4.4127,0,-3.732
pd_l1.pdbqt,lig_1470.pdbqt,-3.737,0,OK,output/pd_l1_lig_1470.pdbqt,2025-08-29 21:24:44,1470,pd_l1_lig_1470,0,4.3434,0,-3.737
pd_l1.pdbqt,lig_1471.pdbqt,-3.746,0,OK,output/pd_l1_lig_1471.pdbqt,2025-08-29 21:24:45,1471,pd_l1_lig_1471,0,4.5307,0,-3.746
pd_l1.pdbqt,lig_1472.pdbqt,-3.751,0,OK,output/pd_l1_lig_1472.pdbqt,2025-08-29 21:24:46,1472,pd_l1_lig_1472,0,4.3186,0,-3.751
pd_l1.pdbqt,lig_1473.pdbqt,-3.766,0,OK,output/pd_l1_lig_1473.pdbqt,2025-08-29 21:24:47,1473,pd_l1_lig_1473,0.1096,0.1378,0.0151,-3.7509
pd_l1.pdbqt,lig_1474.pdbqt,-3.746,0,OK,output/pd_l1_lig_1474.pdbqt,2025-08-29 21:24:48,1474,pd_l1_lig_1474,0,4.2386,0,-3.746
pd_l1.pdbqt,lig_1475.pdbqt,-3.76,0,OK,output/pd_l1_lig_1475.pdbqt,2025-08-29 21:24:49,1475,pd_l1_lig_1475,0,4.2952,0,-3.76
pd_l1.pdbqt,lig_1476.pdbqt,-3.748,0,OK,output/pd_l1_lig_1476.pdbqt,2025-08-29 21:24:50,1476,pd_l1_lig_1476,0,4.1113,0,-3.748
pd_l1.pdbqt,lig_1477.pdbqt,-3.989,0,OK,output/pd_l1_lig_1477.pdbqt,2025-08-29 21:24:51,1477,pd_l1_lig_1477,0,3.5665,0,-3.989
pd_l1.pdbqt,lig_1478.pdbqt,-3.982,0,OK,output/pd_l1_lig_1478.pdbqt,2025-08-29 21:24:52,1478,pd_l1_lig_1478,0,3.3189,0,-3.982
pd_l1.pdbqt,lig_1479.pdbqt,-3.994,0,OK,output/pd_l1_lig_1479.pdbqt,2025-08-29 21:24:53,1479,pd_l1_lig_1479,0,3.6208,0,-3.994
pd_l1.pdbqt,lig_1480.pdbqt,-3.978,0,OK,output/pd_l1_lig_1480.pdbqt,2025-08-29 21:24:54,1480,pd_l1_lig_1480,0,3.3974,0,-3.978
pd_l1.pdbqt,lig_1481.pdbqt,-4.05,0,OK,output/pd_l1_lig_1481.pdbqt,2025-08-29 21:24:54,1481,pd_l1_lig_1481,0,3.8917,0,-4.05
pd_l1.pdbqt,lig_1482.pdbqt,-4.006,0,OK,output/pd_l1_lig_1482.pdbqt,2025-08-29 21:24:55,1482,pd_l1_lig_1482,0,4.0958,0,-4.006
pd_l1.pdbqt,lig_1483.pdbqt,-4.003,0,OK,output/pd_l1_lig_1483.pdbqt,2025-08-29 21:24:56,1483,pd_l1_lig_1483,0,4.0073,0,-4.003
pd_l1.pdbqt,lig_1484.pdbqt,-4.026,0,OK,output/pd_l1_lig_1484.pdbqt,2025-08-29 21:24:57,1484,pd_l1_lig_1484,0,3.6104,0,-4.026
pd_l1.pdbqt,lig_1485.pdbqt,-4.201,0,OK,output/pd_l1_lig_1485.pdbqt,2025-08-29 21:24:58,1485,pd_l1_lig_1485,0,3.0694,0,-4.201
pd_l1.pdbqt,lig_1486.pdbqt,-4.199,0,OK,output/pd_l1_lig_1486.pdbqt,2025-08-29 21:24:59,1486,pd_l1_lig_1486,0,2.8654,0,-4.199
pd_l1.pdbqt,lig_1487.pdbqt,-4.205,0,OK,output/pd_l1_lig_1487.pdbqt,2025-08-29 21:25:00,1487,pd_l1_lig_1487,0,2.894,0,-4.205
pd_l1.pdbqt,lig_1488.pdbqt,-4.206,0,OK,output/pd_l1_lig_1488.pdbqt,2025-08-29 21:25:01,1488,pd_l1_lig_1488,0,3.1036,0,-4.206
pd_l1.pdbqt,lig_1489.pdbqt,-3.976,0,OK,output/pd_l1_lig_1489.pdbqt,2025-08-29 21:25:02,1489,pd_l1_lig_1489,0,2.6067,0,-3.976
pd_l1.pdbqt,lig_1490.pdbqt,-3.736,0,OK,output/pd_l1_lig_1490.pdbqt,2025-08-29 21:25:03,1490,pd_l1_lig_1490,0,4.9742,0,-3.736
pd_l1.pdbqt,lig_1491.pdbqt,-3.96,0,OK,output/pd_l1_lig_1491.pdbqt,2025-08-29 21:25:04,1491,pd_l1_lig_1491,0,3.9719,0,-3.96
pd_l1.pdbqt,lig_1492.pdbqt,-3.727,0,OK,output/pd_l1_lig_1492.pdbqt,2025-08-29 21:25:05,1492,pd_l1_lig_1492,0,4.9432,0,-3.727
pd_l1.pdbqt,lig_1493.pdbqt,-3.944,0,OK,output/pd_l1_lig_1493.pdbqt,2025-08-29 21:25:06,1493,pd_l1_lig_1493,0,2.6428,0,-3.944
pd_l1.pdbqt,lig_1494.pdbqt,-3.915,0,OK,output/pd_l1_lig_1494.pdbqt,2025-08-29 21:25:07,1494,pd_l1_lig_1494,0,3.2443,0,-3.915
pd_l1.pdbqt,lig_1495.pdbqt,-3.908,0,OK,output/pd_l1_lig_1495.pdbqt,2025-08-29 21:25:08,1495,pd_l1_lig_1495,0,2.4928,0,-3.908
pd_l1.pdbqt,lig_1496.pdbqt,-3.912,0,OK,output/pd_l1_lig_1496.pdbqt,2025-08-29 21:25:09,1496,pd_l1_lig_1496,0,2.7961,0,-3.912
pd_l1.pdbqt,lig_1497.pdbqt,-3.817,0,OK,output/pd_l1_lig_1497.pdbqt,2025-08-29 21:25:10,1497,pd_l1_lig_1497,0,4.8344,0,-3.817
pd_l1.pdbqt,lig_1498.pdbqt,-3.819,0,OK,output/pd_l1_lig_1498.pdbqt,2025-08-29 21:25:11,1498,pd_l1_lig_1498,0,4.8743,0,-3.819
pd_l1.pdbqt,lig_1499.pdbqt,-3.821,0,OK,output/pd_l1_lig_1499.pdbqt,2025-08-29 21:25:12,1499,pd_l1_lig_1499,0,4.6434,0,-3.821
pd_l1.pdbqt,lig_1500.pdbqt,-3.811,0,OK,output/pd_l1_lig_1500.pdbqt,2025-08-29 21:25:13,1500,pd_l1_lig_1500,0,4.5988,0,-3.811
pd_l1.pdbqt,lig_1501.pdbqt,-4.501,0,OK,output/pd_l1_lig_1501.pdbqt,2025-08-29 21:25:14,1501,pd_l1_lig_1501,0,1.435,0,-4.501
pd_l1.pdbqt,lig_1502.pdbqt,-3.158,0,OK,output/pd_l1_lig_1502.pdbqt,2025-08-29 21:25:14,1502,pd_l1_lig_1502,0,3.1341,0,-3.158
pd_l1.pdbqt,lig_1503.pdbqt,-3.956,0,OK,output/pd_l1_lig_1503.pdbqt,2025-08-29 21:25:15,1503,pd_l1_lig_1503,0,2.2254,0,-3.956
pd_l1.pdbqt,lig_1504.pdbqt,-3.107,0,OK,output/pd_l1_lig_1504.pdbqt,2025-08-29 21:25:16,1504,pd_l1_lig_1504,0,3.1067,0,-3.107
pd_l1.pdbqt,lig_1505.pdbqt,-2.828,0,OK,output/pd_l1_lig_1505.pdbqt,2025-08-29 21:25:17,1505,pd_l1_lig_1505,0,-4.1799,0,-2.828
pd_l1.pdbqt,lig_1506.pdbqt,-3.115,0,OK,output/pd_l1_lig_1506.pdbqt,2025-08-29 21:25:18,1506,pd_l1_lig_1506,0,3.8672,0,-3.115
pd_l1.pdbqt,lig_1507.pdbqt,-3.102,0,OK,output/pd_l1_lig_1507.pdbqt,2025-08-29 21:25:18,1507,pd_l1_lig_1507,0,-3.2096,0,-3.102
pd_l1.pdbqt,lig_1508.pdbqt,,,FAILED,,2025-08-29 21:25:18,1508,,,,,0
pd_l1.pdbqt,lig_1509.pdbqt,-3.233,0,OK,output/pd_l1_lig_1509.pdbqt,2025-08-29 21:25:19,1509,pd_l1_lig_1509,0,4.0467,0,-3.233
pd_l1.pdbqt,lig_1510.pdbqt,-3.298,0,OK,output/pd_l1_lig_1510.pdbqt,2025-08-29 21:25:20,1510,pd_l1_lig_1510,0,4.2073,0,-3.298
pd_l1.pdbqt,lig_1511.pdbqt,,,FAILED,,2025-08-29 21:25:20,1511,,,,,0
pd_l1.pdbqt,lig_1512.pdbqt,-2.632,0,OK,output/pd_l1_lig_1512.pdbqt,2025-08-29 21:25:20,1512,pd_l1_lig_1512,0,-4.9323,0,-2.632
pd_l1.pdbqt,lig_1513.pdbqt,,,FAILED,,2025-08-29 21:25:20,1513,,,,,0
pd_l1.pdbqt,lig_1514.pdbqt,-3.506,0,OK,output/pd_l1_lig_1514.pdbqt,2025-08-29 21:25:22,1514,pd_l1_lig_1514,0,1.045,0,-3.506
pd_l1.pdbqt,lig_1515.pdbqt,-2.939,0,OK,output/pd_l1_lig_1515.pdbqt,2025-08-29 21:25:22,1515,pd_l1_lig_1515,0,5.8829,0,-2.939
pd_l1.pdbqt,lig_1516.pdbqt,-4.159,0,OK,output/pd_l1_lig_1516.pdbqt,2025-08-29 21:25:24,1516,pd_l1_lig_1516,0,6.9772,0,-4.159
pd_l1.pdbqt,lig_1517.pdbqt,-3.172,0,OK,output/pd_l1_lig_1517.pdbqt,2025-08-29 21:25:25,1517,pd_l1_lig_1517,0,2.1325,0,-3.172
pd_l1.pdbqt,lig_1518.pdbqt,-4.47,0,OK,output/pd_l1_lig_1518.pdbqt,2025-08-29 21:25:25,1518,pd_l1_lig_1518,0,9.5892,0,-4.47
pd_l1.pdbqt,lig_1519.pdbqt,-3.866,0,OK,output/pd_l1_lig_1519.pdbqt,2025-08-29 21:25:26,1519,pd_l1_lig_1519,0,1.4543,0,-3.866
pd_l1.pdbqt,lig_1520.pdbqt,-4.959,0,OK,output/pd_l1_lig_1520.pdbqt,2025-08-29 21:25:28,1520,pd_l1_lig_1520,0,-3.6733,-0.0001,-4.9591
pd_l1.pdbqt,lig_1521.pdbqt,-4.358,0,OK,output/pd_l1_lig_1521.pdbqt,2025-08-29 21:25:29,1521,pd_l1_lig_1521,0,2.6675,0,-4.358
pd_l1.pdbqt,lig_1522.pdbqt,-4.465,0,OK,output/pd_l1_lig_1522.pdbqt,2025-08-29 21:25:30,1522,pd_l1_lig_1522,0,1.7509,0,-4.465
pd_l1.pdbqt,lig_1523.pdbqt,-4.436,0,OK,output/pd_l1_lig_1523.pdbqt,2025-08-29 21:25:31,1523,pd_l1_lig_1523,0,1.8094,0,-4.436
pd_l1.pdbqt,lig_1524.pdbqt,-4.792,0,OK,output/pd_l1_lig_1524.pdbqt,2025-08-29 21:25:32,1524,pd_l1_lig_1524,0.0018,-3.5546,-0.0063,-4.7983
pd_l1.pdbqt,lig_1525.pdbqt,-3.884,0,OK,output/pd_l1_lig_1525.pdbqt,2025-08-29 21:25:33,1525,pd_l1_lig_1525,0,-2.8668,0,-3.884
pd_l1.pdbqt,lig_1526.pdbqt,-4.178,0,OK,output/pd_l1_lig_1526.pdbqt,2025-08-29 21:25:34,1526,pd_l1_lig_1526,0,0.6957,0,-4.178
pd_l1.pdbqt,lig_1527.pdbqt,-5.816,0,OK,output/pd_l1_lig_1527.pdbqt,2025-08-29 21:25:36,1527,pd_l1_lig_1527,0,-2.5444,0,-5.816
pd_l1.pdbqt,lig_1528.pdbqt,-4.569,0,OK,output/pd_l1_lig_1528.pdbqt,2025-08-29 21:25:37,1528,pd_l1_lig_1528,0,9.0878,0,-4.569
pd_l1.pdbqt,lig_1529.pdbqt,-5.349,0,OK,output/pd_l1_lig_1529.pdbqt,2025-08-29 21:25:39,1529,pd_l1_lig_1529,0,0.2006,0,-5.349
pd_l1.pdbqt,lig_1530.pdbqt,-5.189,0,OK,output/pd_l1_lig_1530.pdbqt,2025-08-29 21:25:40,1530,pd_l1_lig_1530,0,2.1335,0,-5.189
pd_l1.pdbqt,lig_1531.pdbqt,-5.082,0,OK,output/pd_l1_lig_1531.pdbqt,2025-08-29 21:25:41,1531,pd_l1_lig_1531,0,-1.3444,0,-5.082
pd_l1.pdbqt,lig_1532.pdbqt,-5.248,0,OK,output/pd_l1_lig_1532.pdbqt,2025-08-29 21:25:42,1532,pd_l1_lig_1532,0,2.5215,0,-5.248
pd_l1.pdbqt,lig_1533.pdbqt,-4.75,0,OK,output/pd_l1_lig_1533.pdbqt,2025-08-29 21:25:43,1533,pd_l1_lig_1533,0,0.1206,0,-4.75
pd_l1.pdbqt,lig_1534.pdbqt,-4.26,0,OK,output/pd_l1_lig_1534.pdbqt,2025-08-29 21:25:44,1534,pd_l1_lig_1534,0,-0.2341,0,-4.26
pd_l1.pdbqt,lig_1535.pdbqt,-4.55,0,OK,output/pd_l1_lig_1535.pdbqt,2025-08-29 21:25:45,1535,pd_l1_lig_1535,0,2.2823,0,-4.55
pd_l1.pdbqt,lig_1536.pdbqt,-4.946,0,OK,output/pd_l1_lig_1536.pdbqt,2025-08-29 21:25:47,1536,pd_l1_lig_1536,0,1.457,0,-4.946
pd_l1.pdbqt,lig_1537.pdbqt,-5.139,0,OK,output/pd_l1_lig_1537.pdbqt,2025-08-29 21:25:48,1537,pd_l1_lig_1537,0,4.448,0,-5.139
pd_l1.pdbqt,lig_1538.pdbqt,-4.327,0,OK,output/pd_l1_lig_1538.pdbqt,2025-08-29 21:25:49,1538,pd_l1_lig_1538,0,9.1148,0,-4.327
pd_l1.pdbqt,lig_1539.pdbqt,-3.853,0,OK,output/pd_l1_lig_1539.pdbqt,2025-08-29 21:25:50,1539,pd_l1_lig_1539,0,6.031,0,-3.853
pd_l1.pdbqt,lig_1540.pdbqt,-4.3,0,OK,output/pd_l1_lig_1540.pdbqt,2025-08-29 21:25:51,1540,pd_l1_lig_1540,0,-1.1967,0,-4.3
pd_l1.pdbqt,lig_1541.pdbqt,-4.539,0,OK,output/pd_l1_lig_1541.pdbqt,2025-08-29 21:25:52,1541,pd_l1_lig_1541,0,7.9256,0,-4.539
pd_l1.pdbqt,lig_1542.pdbqt,-4.405,0,OK,output/pd_l1_lig_1542.pdbqt,2025-08-29 21:25:53,1542,pd_l1_lig_1542,0,4.674,0,-4.405
pd_l1.pdbqt,lig_1543.pdbqt,-3.909,0,OK,output/pd_l1_lig_1543.pdbqt,2025-08-29 21:25:54,1543,pd_l1_lig_1543,0,-2.5174,0,-3.909
pd_l1.pdbqt,lig_1544.pdbqt,-4.433,0,OK,output/pd_l1_lig_1544.pdbqt,2025-08-29 21:25:55,1544,pd_l1_lig_1544,0,9.9979,0,-4.433
pd_l1.pdbqt,lig_1545.pdbqt,-4.324,0,OK,output/pd_l1_lig_1545.pdbqt,2025-08-29 21:25:56,1545,pd_l1_lig_1545,0,8.4904,0,-4.324
pd_l1.pdbqt,lig_1546.pdbqt,-4.705,0,OK,output/pd_l1_lig_1546.pdbqt,2025-08-29 21:25:57,1546,pd_l1_lig_1546,0,7.8264,0,-4.705
pd_l1.pdbqt,lig_1547.pdbqt,-4.249,0,OK,output/pd_l1_lig_1547.pdbqt,2025-08-29 21:25:58,1547,pd_l1_lig_1547,0,10.2743,0,-4.249
pd_l1.pdbqt,lig_1548.pdbqt,-4.16,0,OK,output/pd_l1_lig_1548.pdbqt,2025-08-29 21:25:59,1548,pd_l1_lig_1548,0,9.7535,0,-4.16
pd_l1.pdbqt,lig_1549.pdbqt,-3.816,0,OK,output/pd_l1_lig_1549.pdbqt,2025-08-29 21:25:59,1549,pd_l1_lig_1549,0,-2.8964,0,-3.816
pd_l1.pdbqt,lig_1550.pdbqt,-4.148,0,OK,output/pd_l1_lig_1550.pdbqt,2025-08-29 21:26:00,1550,pd_l1_lig_1550,0,5.1686,0,-4.148
pd_l1.pdbqt,lig_1551.pdbqt,-3.908,0,OK,output/pd_l1_lig_1551.pdbqt,2025-08-29 21:26:01,1551,pd_l1_lig_1551,0,8.7489,0,-3.908
pd_l1.pdbqt,lig_1552.pdbqt,-4.659,0,OK,output/pd_l1_lig_1552.pdbqt,2025-08-29 21:26:02,1552,pd_l1_lig_1552,0,4.6987,0,-4.659
pd_l1.pdbqt,lig_1553.pdbqt,-3.743,0,OK,output/pd_l1_lig_1553.pdbqt,2025-08-29 21:26:03,1553,pd_l1_lig_1553,0,4.2105,0,-3.743
pd_l1.pdbqt,lig_1554.pdbqt,-3.751,0,OK,output/pd_l1_lig_1554.pdbqt,2025-08-29 21:26:04,1554,pd_l1_lig_1554,0,3.4659,0,-3.751
pd_l1.pdbqt,lig_1555.pdbqt,-3.901,0,OK,output/pd_l1_lig_1555.pdbqt,2025-08-29 21:26:05,1555,pd_l1_lig_1555,0,6.7284,0,-3.901
pd_l1.pdbqt,lig_1556.pdbqt,-3.92,0,OK,output/pd_l1_lig_1556.pdbqt,2025-08-29 21:26:06,1556,pd_l1_lig_1556,0,6.8401,0,-3.92
pd_l1.pdbqt,lig_1557.pdbqt,-3.876,0,OK,output/pd_l1_lig_1557.pdbqt,2025-08-29 21:26:07,1557,pd_l1_lig_1557,0,6.2396,0,-3.876
pd_l1.pdbqt,lig_1558.pdbqt,-3.85,0,OK,output/pd_l1_lig_1558.pdbqt,2025-08-29 21:26:08,1558,pd_l1_lig_1558,0,6.1456,0,-3.85
pd_l1.pdbqt,lig_1559.pdbqt,-4.213,0,OK,output/pd_l1_lig_1559.pdbqt,2025-08-29 21:26:09,1559,pd_l1_lig_1559,0,4.5273,0,-4.213
pd_l1.pdbqt,lig_1560.pdbqt,-4.206,0,OK,output/pd_l1_lig_1560.pdbqt,2025-08-29 21:26:10,1560,pd_l1_lig_1560,0,4.2723,0,-4.206
pd_l1.pdbqt,lig_1561.pdbqt,-4.227,0,OK,output/pd_l1_lig_1561.pdbqt,2025-08-29 21:26:12,1561,pd_l1_lig_1561,0,6.6834,0,-4.227
pd_l1.pdbqt,lig_1562.pdbqt,-4.108,0,OK,output/pd_l1_lig_1562.pdbqt,2025-08-29 21:26:13,1562,pd_l1_lig_1562,0,8.9767,0,-4.108
pd_l1.pdbqt,lig_1563.pdbqt,-3.726,0,OK,output/pd_l1_lig_1563.pdbqt,2025-08-29 21:26:13,1563,pd_l1_lig_1563,0,-3.8879,-0.0002,-3.7262
pd_l1.pdbqt,lig_1564.pdbqt,-3.515,0,OK,output/pd_l1_lig_1564.pdbqt,2025-08-29 21:26:14,1564,pd_l1_lig_1564,0,5.303,0,-3.515
pd_l1.pdbqt,lig_1565.pdbqt,-4.163,0,OK,output/pd_l1_lig_1565.pdbqt,2025-08-29 21:26:15,1565,pd_l1_lig_1565,0,8.8948,0,-4.163
pd_l1.pdbqt,lig_1566.pdbqt,-4.282,0,OK,output/pd_l1_lig_1566.pdbqt,2025-08-29 21:26:16,1566,pd_l1_lig_1566,0,-0.9518,0,-4.282
pd_l1.pdbqt,lig_1567.pdbqt,-5.536,0,OK,output/pd_l1_lig_1567.pdbqt,2025-08-29 21:26:17,1567,pd_l1_lig_1567,0,6.7854,0,-5.536
pd_l1.pdbqt,lig_1568.pdbqt,-4.164,0,OK,output/pd_l1_lig_1568.pdbqt,2025-08-29 21:26:18,1568,pd_l1_lig_1568,0,10.0377,0,-4.164
pd_l1.pdbqt,lig_1569.pdbqt,-4.319,0,OK,output/pd_l1_lig_1569.pdbqt,2025-08-29 21:26:19,1569,pd_l1_lig_1569,0,9.3676,0,-4.319
pd_l1.pdbqt,lig_1570.pdbqt,-5.561,0,OK,output/pd_l1_lig_1570.pdbqt,2025-08-29 21:26:20,1570,pd_l1_lig_1570,0,0.5936,0,-5.561
pd_l1.pdbqt,lig_1571.pdbqt,-5.645,0,OK,output/pd_l1_lig_1571.pdbqt,2025-08-29 21:26:21,1571,pd_l1_lig_1571,0,-0.5338,0,-5.645
pd_l1.pdbqt,lig_1572.pdbqt,-4.912,0,OK,output/pd_l1_lig_1572.pdbqt,2025-08-29 21:26:21,1572,pd_l1_lig_1572,0,3.4248,0,-4.912
pd_l1.pdbqt,lig_1573.pdbqt,-4.52,0,OK,output/pd_l1_lig_1573.pdbqt,2025-08-29 21:26:22,1573,pd_l1_lig_1573,0,2.5111,0,-4.52
pd_l1.pdbqt,lig_1574.pdbqt,-4.426,0,OK,output/pd_l1_lig_1574.pdbqt,2025-08-29 21:26:23,1574,pd_l1_lig_1574,0,3.647,0,-4.426
pd_l1.pdbqt,lig_1575.pdbqt,-4.379,0,OK,output/pd_l1_lig_1575.pdbqt,2025-08-29 21:26:24,1575,pd_l1_lig_1575,0,3.7462,0,-4.379
pd_l1.pdbqt,lig_1576.pdbqt,-4.222,0,OK,output/pd_l1_lig_1576.pdbqt,2025-08-29 21:26:25,1576,pd_l1_lig_1576,0,9.9096,0,-4.222
pd_l1.pdbqt,lig_1577.pdbqt,-4.258,0,OK,output/pd_l1_lig_1577.pdbqt,2025-08-29 21:26:26,1577,pd_l1_lig_1577,0,1.5232,0,-4.258
pd_l1.pdbqt,lig_1578.pdbqt,-4.154,0,OK,output/pd_l1_lig_1578.pdbqt,2025-08-29 21:26:27,1578,pd_l1_lig_1578,0,10.6484,0,-4.154
pd_l1.pdbqt,lig_1579.pdbqt,-4.911,0,OK,output/pd_l1_lig_1579.pdbqt,2025-08-29 21:26:28,1579,pd_l1_lig_1579,0,-3.3607,0,-4.911
pd_l1.pdbqt,lig_1580.pdbqt,-4.941,0,OK,output/pd_l1_lig_1580.pdbqt,2025-08-29 21:26:29,1580,pd_l1_lig_1580,0,-3.3919,0,-4.941
pd_l1.pdbqt,lig_1581.pdbqt,-5.011,0,OK,output/pd_l1_lig_1581.pdbqt,2025-08-29 21:26:29,1581,pd_l1_lig_1581,0,2.7087,0,-5.011
pd_l1.pdbqt,lig_1582.pdbqt,-5.632,0,OK,output/pd_l1_lig_1582.pdbqt,2025-08-29 21:26:31,1582,pd_l1_lig_1582,0,2.4506,0,-5.632
pd_l1.pdbqt,lig_1583.pdbqt,-5.284,0,OK,output/pd_l1_lig_1583.pdbqt,2025-08-29 21:26:32,1583,pd_l1_lig_1583,0,6.1382,0,-5.284
pd_l1.pdbqt,lig_1584.pdbqt,-5.032,0,OK,output/pd_l1_lig_1584.pdbqt,2025-08-29 21:26:32,1584,pd_l1_lig_1584,0,-1.1828,0,-5.032
pd_l1.pdbqt,lig_1585.pdbqt,-4.429,0,OK,output/pd_l1_lig_1585.pdbqt,2025-08-29 21:26:33,1585,pd_l1_lig_1585,0,0.2888,0,-4.429
pd_l1.pdbqt,lig_1586.pdbqt,-4.908,0,OK,output/pd_l1_lig_1586.pdbqt,2025-08-29 21:26:34,1586,pd_l1_lig_1586,0,-3.8174,-0.0001,-4.9081
pd_l1.pdbqt,lig_1587.pdbqt,-4.63,0,OK,output/pd_l1_lig_1587.pdbqt,2025-08-29 21:26:35,1587,pd_l1_lig_1587,0,0.1403,0,-4.63
pd_l1.pdbqt,lig_1588.pdbqt,-4.768,0,OK,output/pd_l1_lig_1588.pdbqt,2025-08-29 21:26:37,1588,pd_l1_lig_1588,0,-2.8503,0,-4.768
pd_l1.pdbqt,lig_1589.pdbqt,-7.769,0,OK,output/pd_l1_lig_1589.pdbqt,2025-08-29 21:26:38,1589,pd_l1_lig_1589,,,,-7.769
pd_l1.pdbqt,lig_1590.pdbqt,-4.564,0,OK,output/pd_l1_lig_1590.pdbqt,2025-08-29 21:26:39,1590,pd_l1_lig_1590,0,0.0047,0,-4.564
pd_l1.pdbqt,lig_1591.pdbqt,-4.782,0,OK,output/pd_l1_lig_1591.pdbqt,2025-08-29 21:26:40,1591,pd_l1_lig_1591,0,-1.1833,0,-4.782
pd_l1.pdbqt,lig_1592.pdbqt,,,FAILED,,2025-08-29 21:26:40,1592,,,,,0
pd_l1.pdbqt,lig_1593.pdbqt,-7.334,0,OK,output/pd_l1_lig_1593.pdbqt,2025-08-29 21:26:41,1593,pd_l1_lig_1593,,,,-7.334
pd_l1.pdbqt,lig_1594.pdbqt,-7.334,0,OK,output/pd_l1_lig_1594.pdbqt,2025-08-29 21:26:41,1594,pd_l1_lig_1594,,,,-7.334
pd_l1.pdbqt,lig_1595.pdbqt,,,FAILED,,2025-08-29 21:26:41,1595,,,,,0
pd_l1.pdbqt,lig_1596.pdbqt,-5.44,0,OK,output/pd_l1_lig_1596.pdbqt,2025-08-29 21:26:43,1596,pd_l1_lig_1596,0,-3.9582,0,-5.44
pd_l1.pdbqt,lig_1597.pdbqt,-4.972,0,OK,output/pd_l1_lig_1597.pdbqt,2025-08-29 21:26:44,1597,pd_l1_lig_1597,0,-3.5584,0,-4.972
pd_l1.pdbqt,lig_1598.pdbqt,-4.457,0,OK,output/pd_l1_lig_1598.pdbqt,2025-08-29 21:26:45,1598,pd_l1_lig_1598,0,-1.3137,0,-4.457
pd_l1.pdbqt,lig_1599.pdbqt,,,FAILED,,2025-08-29 21:26:45,1599,,,,,0
pd_l1.pdbqt,lig_1600.pdbqt,-4.664,0,OK,output/pd_l1_lig_1600.pdbqt,2025-08-29 21:26:46,1600,pd_l1_lig_1600,0,0.4158,0,-4.664
pd_l1.pdbqt,lig_1601.pdbqt,,,FAILED,,2025-08-29 21:26:46,1601,,,,,0
